"sname","fname","labour","tory","lnrealgross","lnrealnet","treated","yob","yod","scat_pub","scat_eto","scat_sec","scat_nm","ucat_ox","ucat_deg","ucat_nm","aristo","female","oc_teacherall","oc_barrister","oc_solicitor","oc_dr","oc_civil_serv","oc_local_politics","oc_business","oc_white_collar","oc_union_org","oc_journalist","oc_miner","wobl_race_region","pre_wobl","wobl_race_electorate","wobl_race_turnout","wobl_race_effective_number_of_ca","wobl_margin","directorships_1983"
"Hooker","Michael",0,1,13.2981424331665,13.2507028579712,0,1923,2004,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"West Midlands",-0.245824038982391,60769,0.811598002910614,1.96982753276825,-0.123763181269169,0
"Waite","Geoffrey",0,1,9.76089000701904,9.76089000701904,0,1925,1987,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East Midlands",-0.0972732454538345,54225,0.839981555938721,2.53983473777771,-0.0822648629546165,0
"Thompson","Richard",0,1,14.0378875732422,14.0302143096924,1,1912,1999,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Greater London",NA,54119,0.836526930332184,2.31509590148926,0.0218015555292368,1
"Thompson","Kenneth",0,1,11.8429412841797,11.8429412841797,1,1909,1984,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"North West England",NA,63962,0.830711960792542,2.35989332199097,0.0803063958883286,0
"Thompson","Frank",1,0,12.4480905532837,12.4480905532837,0,1938,2000,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"East of England",-0.0763045474886894,44774,0.826573431491852,2.51931262016296,-0.0585263036191463,NA
"Crehan","Thomas",1,0,10.6116285324097,10.6116285324097,0,1919,1986,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Midlands",NA,58189,0.837580978870392,2.29459834098816,-0.0790553539991379,0
"Janis","Morris",1,0,13.0986862182617,13.0779066085815,0,1913,2001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"East of England",-0.0538137964904308,57933,0.831408679485321,2.24522161483765,-0.0917244553565979,0
"Rippon","Geoffrey",0,1,14.004919052124,14.004919052124,1,1924,1997,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"East of England",0.0508866608142853,45402,0.783225417137146,1.99512374401093,0.0494375713169575,0
"Cleaver","Leonard",0,1,13.0804605484009,13.0804605484009,1,1909,1993,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"West Midlands",-0.0704873651266098,59135,0.770761787891388,1.99815499782562,0.0303868018090725,0
"Matterson","Alan",1,0,12.7042398452759,12.6037893295288,0,1929,2005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"South East England",-0.114482291042805,72575,0.825339317321777,2.51429057121277,-0.0551261305809021,0
"Moody","Aubrey",0,1,11.251353263855,11.251353263855,0,1911,2004,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"East of England",-0.0398437678813934,51282,0.873756885528564,1.99950647354126,-0.0157114807516336,0
"Warren","Brian",0,1,12.4029788970947,12.4029788970947,0,1914,1996,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Greater London",-0.139269217848778,52261,0.652915179729462,1.99236714839935,-0.0618955530226231,1
"Johnson","Walter",1,0,12.5190200805664,11.9728546142578,1,1917,2003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"East Midlands",0.257032424211502,52999,0.672937214374542,1.9845290184021,0.0882938429713249,0
"Johnson","Carol",1,0,12.8685655593872,12.8685655593872,1,1903,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Greater London",0.148551493883133,53962,0.78601610660553,2.06365275382996,0.0726393982768059,0
"Leitch","Alexander",0,1,12.4320087432861,10.8450441360474,0,1926,2003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yorkshire and Humberside",-0.242477387189865,63491,0.65691202878952,2.43841338157654,-0.164692625403404,0
"Richardson","Josephine",1,0,12.0962562561035,12.0962562561035,1,1923,1994,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"Greater London",-0.144481420516968,47954,0.799829006195068,1.99308621883392,-0.0588971450924873,0
